topic	x	y	topics	cluster	Freq
5	3.2910523	-1.2355281	1	1	5.2
8	0.40570787	-3.6540687	2	1	3.7721268772665897
6	-0.662618	0.5510112	3	1	2.504353769114227
3	3.1992774	2.5282607	4	1	1.610662333243927
2	-5.0	0.44518843	5	1	1.227968762180252
1	0.19936611	4.803147	6	1	0.5812003129219245
4	-3.2841277	-2.9059758	7	1	0.28340818272639834
7	-3.4496076	3.8760524	8	1	0.2
